epoch,loss_d,loss_y,step,train_loss,val_acc,val_loss
0,3.2521185874938965,0.6934974193572998,0,3.9456160068511963,,
0,3.2582075595855713,0.6948469877243042,1,3.953054428100586,,
0,3.250593662261963,0.6903481483459473,2,3.94094181060791,,
0,3.259617328643799,0.6948970556259155,3,3.954514503479004,,
0,3.253734588623047,0.693629264831543,4,3.94736385345459,,
0,,,4,,0.5,0.6933440566062927
1,3.2514185905456543,0.695292592048645,5,3.9467110633850098,,
1,3.2417800426483154,0.692267894744873,6,3.9340479373931885,,
1,3.249630928039551,0.694205105304718,7,3.943835973739624,,
1,3.245530366897583,0.6923863291740417,8,3.9379167556762695,,
1,3.247323989868164,0.692619800567627,9,3.939943790435791,,
1,,,9,,0.5,0.6932730078697205
2,3.240508794784546,0.6909966468811035,10,3.9315054416656494,,
2,3.24306321144104,0.6919107437133789,11,3.934973955154419,,
2,3.238128423690796,0.6942830085754395,12,3.9324114322662354,,
2,3.2432680130004883,0.6963057518005371,13,3.9395737648010254,,
2,3.2333412170410156,0.6938658952713013,14,3.9272069931030273,,
2,,,14,,0.5,0.6933865547180176
3,3.2335517406463623,0.6941727995872498,15,3.927724599838257,,
3,3.230229377746582,0.6939123272895813,16,3.9241416454315186,,
3,3.2300515174865723,0.6936385035514832,17,3.9236900806427,,
3,3.2328405380249023,0.6939802169799805,18,3.926820755004883,,
3,3.2356231212615967,0.6907351016998291,19,3.926358222961426,,
3,,,19,,0.5,0.6935067176818848
4,3.2369046211242676,0.6937655210494995,20,3.9306702613830566,,
4,3.2256669998168945,0.691906750202179,21,3.9175736904144287,,
4,3.218074321746826,0.6918185949325562,22,3.909893035888672,,
4,3.229782819747925,0.6964102387428284,23,3.9261929988861084,,
4,3.2209413051605225,0.6941850185394287,24,3.915126323699951,,
4,,,24,,0.5,0.6939520835876465
5,3.2197084426879883,0.6932150721549988,25,3.912923574447632,,
5,3.2200839519500732,0.6968182325363159,26,3.9169020652770996,,
5,3.2250704765319824,0.6964742541313171,27,3.9215447902679443,,
5,3.216282606124878,0.6927220225334167,28,3.9090046882629395,,
5,3.2191174030303955,0.689945638179779,29,3.9090631008148193,,
5,,,29,,0.5,0.6946103572845459
6,3.2074480056762695,0.6927938461303711,30,3.9002418518066406,,
6,3.220080614089966,0.6936333775520325,31,3.9137139320373535,,
6,3.2091073989868164,0.6945607662200928,32,3.903668165206909,,
6,3.209044933319092,0.6920852661132812,33,3.901130199432373,,
6,3.2081124782562256,0.7002460360527039,34,3.908358573913574,,
6,,,34,,0.5,0.6955487728118896
7,3.2024710178375244,0.6893404126167297,35,3.8918113708496094,,
7,3.203869104385376,0.6950218081474304,36,3.898890972137451,,
7,3.192709445953369,0.6951072216033936,37,3.8878166675567627,,
7,3.1886653900146484,0.6941736340522766,38,3.8828389644622803,,
7,3.188697576522827,0.702222466468811,39,3.8909201622009277,,
7,,,39,,0.5,0.6959105134010315
8,3.182100534439087,0.6991899013519287,40,3.8812904357910156,,
8,3.188243865966797,0.6941548585891724,41,3.8823986053466797,,
8,3.1765999794006348,0.6941081285476685,42,3.8707079887390137,,
8,3.158635139465332,0.6911940574645996,43,3.8498291969299316,,
8,3.168787717819214,0.6968035101890564,44,3.865591287612915,,
8,,,44,,0.5,0.6956429481506348
9,3.156463146209717,0.703946053981781,45,3.8604092597961426,,
9,3.161459445953369,0.6868337392807007,46,3.8482933044433594,,
9,3.150353193283081,0.699744701385498,47,3.850097894668579,,
9,3.1525332927703857,0.6945235133171082,48,3.8470568656921387,,
9,3.150458335876465,0.6889076232910156,49,3.8393659591674805,,
9,,,49,,0.5,0.6960987448692322
10,3.1418497562408447,0.6950922012329102,50,3.836941957473755,,
10,3.141913652420044,0.695706844329834,51,3.837620496749878,,
10,3.135653018951416,0.6850565075874329,52,3.820709466934204,,
10,3.134345769882202,0.7043391466140747,53,3.8386850357055664,,
10,3.143526554107666,0.690757691860199,54,3.8342843055725098,,
10,,,54,,0.5,0.6963739991188049
11,3.1352055072784424,0.6939486861228943,55,3.8291542530059814,,
11,3.134716749191284,0.6914860010147095,56,3.826202869415283,,
11,3.128802537918091,0.6949746012687683,57,3.823777198791504,,
11,3.131939649581909,0.6948611736297607,58,3.82680082321167,,
11,3.139718532562256,0.6937005519866943,59,3.83341908454895,,
11,,,59,,0.5,0.6952804923057556
12,3.1332404613494873,0.694620668888092,60,3.8278610706329346,,
12,3.1400187015533447,0.6972472667694092,61,3.837265968322754,,
12,3.1375529766082764,0.6914100050926208,62,3.828963041305542,,
12,3.1387779712677,0.693066418170929,63,3.8318443298339844,,
12,3.149350643157959,0.6919873356819153,64,3.8413379192352295,,
12,,,64,,0.5,0.6959056258201599
13,3.1469643115997314,0.6946740746498108,65,3.8416383266448975,,
13,3.1530065536499023,0.6939138174057007,66,3.8469204902648926,,
13,3.151059627532959,0.6912094354629517,67,3.842268943786621,,
13,3.160320281982422,0.6946825981140137,68,3.8550028800964355,,
13,3.1551766395568848,0.6924116015434265,69,3.847588300704956,,
13,,,69,,0.5,0.6944751143455505
14,3.1564390659332275,0.6944786310195923,70,3.8509178161621094,,
14,3.161208152770996,0.6931905150413513,71,3.854398727416992,,
14,3.169466257095337,0.6920630931854248,72,3.8615293502807617,,
14,3.1618754863739014,0.6932604908943176,73,3.855135917663574,,
14,3.164161205291748,0.6933139562606812,74,3.8574752807617188,,
14,,,74,,0.5,0.6994519233703613
15,3.1623175144195557,0.6930406093597412,75,3.855358123779297,,
15,3.166198968887329,0.6927871108055115,76,3.8589861392974854,,
