epoch,loss_d_dataset,loss_d_subject,loss_mmd,loss_y,lr,step,train_loss,val_acc,val_loss
0,1.1660845279693604,3.3022782802581787,0.0,0.989853024482727,0.0003000000142492354,4,1.4366893768310547,,
0,1.2324111461639404,3.105374574661255,0.0,0.7647165060043335,0.0003000000142492354,9,1.1984951496124268,,
0,1.0522805452346802,3.1254405975341797,0.0,0.8126661777496338,0.0003000000142492354,14,1.230438232421875,,
0,0.7876890301704407,3.2020599842071533,0.0,0.8295019865036011,0.0003000000142492354,19,1.228476881980896,,
0,,,,,,20,,0.4937500059604645,0.7003809809684753
1,0.7840179204940796,3.115840196609497,0.0,0.7740706205368042,0.0003000000142492354,24,1.164056420326233,,
1,0.6888889670372009,3.202662706375122,0.0,0.6455885767936707,0.0003000000142492354,29,1.0347437858581543,,
1,0.6591458320617676,3.1861886978149414,0.0,0.6770491600036621,0.0003000000142492354,34,1.0615825653076172,,
1,0.5153327584266663,3.0821187496185303,0.0,0.6592984199523926,0.0003000000142492354,39,1.0190435647964478,,
1,,,,,,41,,0.59375,0.6568623781204224
2,0.5306035280227661,3.288193941116333,0.0,0.6357707977294922,0.0003000000142492354,44,1.0176506042480469,,
2,0.5231648683547974,3.20405650138855,0.0,0.6095312833786011,0.0003000000142492354,49,0.9822534322738647,,
2,0.38986924290657043,2.99290132522583,0.0,0.7406659126281738,0.0003000000142492354,54,1.0789430141448975,,
2,0.33966007828712463,3.1550536155700684,0.0,0.6576119661331177,0.0003000000142492354,59,1.0070834159851074,,
2,,,,,,62,,0.71875,0.6163378953933716
3,0.40403953194618225,3.224653720855713,0.0,0.6619146466255188,0.0003000000142492354,64,1.024783968925476,,
3,0.29420042037963867,3.0837221145629883,0.0,0.6175471544265747,0.0003000000142492354,69,0.9553394317626953,,
3,0.340202271938324,3.0974788665771484,0.0,0.7543230652809143,0.0003000000142492354,74,1.0980911254882812,,
3,0.27731087803840637,3.0728745460510254,0.0,0.7177696228027344,0.0003000000142492354,79,1.0527881383895874,,
3,,,,,,83,,0.7875000238418579,0.570404589176178
4,0.2541425824165344,3.091618776321411,0.0,0.4887238144874573,0.0003000000142492354,84,0.8232999444007874,,
4,0.2479224056005478,3.1518023014068604,0.0,0.6028045415878296,0.0003000000142492354,89,0.9427770376205444,,
4,0.2401873767375946,3.0900933742523193,0.0,0.5597793459892273,0.0003000000142492354,94,0.8928074240684509,,
4,0.19295036792755127,2.996907949447632,0.0,0.5243991613388062,0.0003000000142492354,99,0.8433849811553955,,
4,0.201187863945961,3.061866521835327,0.0,0.4999852478504181,0.0003000000142492354,104,0.8262907266616821,,
4,,,,,,104,,0.8125,0.5131053328514099
5,0.19014568626880646,3.2678415775299072,0.0,0.45824119448661804,0.0003000000142492354,109,0.8040399551391602,,
5,0.1683686375617981,3.0515902042388916,0.0,0.4501659870147705,0.0003000000142492354,114,0.7721618413925171,,
5,0.12140402942895889,3.0653865337371826,0.0,0.49167636036872864,0.0003000000142492354,119,0.8103554248809814,,
5,0.17340394854545593,3.154378652572632,0.0,0.454804003238678,0.0003000000142492354,124,0.787582278251648,,
5,,,,,,125,,0.8687499761581421,0.45945167541503906
6,0.13544990122318268,3.234065294265747,0.0,0.41534221172332764,0.0003000000142492354,129,0.7522937059402466,,
6,0.12868225574493408,3.1770994663238525,0.0,0.3790184557437897,0.0003000000142492354,134,0.7095966339111328,,
6,0.15674437582492828,3.132932186126709,0.0,0.4865107536315918,0.0003000000142492354,139,0.8154784440994263,,
6,0.1170310229063034,3.2278432846069336,0.0,0.38521608710289,0.0003000000142492354,144,0.7197035551071167,,
6,,,,,,146,,0.8999999761581421,0.3974488377571106
7,0.08974957466125488,3.152111530303955,0.0,0.4068889021873474,0.0003000000142492354,149,0.7310750484466553,,
7,0.10529383271932602,3.1419930458068848,0.0,0.32162490487098694,0.0003000000142492354,154,0.6463536024093628,,
7,0.08156249672174454,3.2119054794311523,0.0,0.3612472414970398,0.0003000000142492354,159,0.6905940771102905,,
7,0.08915352821350098,3.0457258224487305,0.0,0.30973148345947266,0.0003000000142492354,164,0.6232194304466248,,
7,,,,,,167,,0.918749988079071,0.33725225925445557
8,0.08149068057537079,3.051955223083496,0.0,0.24896323680877686,0.0003000000142492354,169,0.5623078346252441,,
8,0.07870817184448242,3.0508522987365723,0.0,0.2293652892112732,0.0003000000142492354,174,0.5423213243484497,,
8,0.07366552203893661,3.0967235565185547,0.0,0.34451091289520264,0.0003000000142492354,179,0.6615498065948486,,
8,0.08967197686433792,3.331902027130127,0.0,0.2797147035598755,0.0003000000142492354,184,0.6218721270561218,,
8,,,,,,188,,0.949999988079071,0.27092117071151733
9,0.06327525526285172,3.0562000274658203,0.0,0.19840005040168762,0.0003000000142492354,189,0.5103476047515869,,
9,0.06365621089935303,3.2408814430236816,0.0,0.1292257159948349,0.0003000000142492354,194,0.4596794843673706,,
9,0.053369127213954926,3.1228272914886475,0.0,0.19435152411460876,0.0003000000142492354,199,0.5119711756706238,,
9,0.05613742023706436,3.26796293258667,0.0,0.11593931168317795,0.0003000000142492354,204,0.44834935665130615,,
9,0.060414984822273254,3.1717848777770996,0.0,0.16376619040966034,0.0003000000142492354,209,0.4869861602783203,,
9,,,,,,209,,0.956250011920929,0.21807631850242615
10,0.039163488894701004,3.2285842895507812,0.0,0.13928502798080444,0.0003000000142492354,214,0.4660598337650299,,
10,0.04375877231359482,2.9815945625305176,0.0,0.1067470908164978,0.0003000000142492354,219,0.4092824459075928,,
